independentRank,learningStage,userTier,masteryTarget,priorityScore,canonicalForm,displayForm,unitType,independentStudy,formOfCanonical,formRelationType,parentLexicalUnitId,sourceBookCount,sourceFamilyCount,qualityStatus,lexicalUnitId,prerequisiteLexicalUnitIds,formCandidates
1,S0_foundation_automatic,A1,active_automatic,682,active,active,lexeme_candidate,True,,,,47,28,conflicting_variants,lu:30b8be688464d5d2fb,,[]
2,S0_foundation_automatic,A1,active_automatic,682,argue,argue,lexeme_candidate,True,,,,46,28,conflicting_variants,lu:493e4250098d93447f,,[]
3,S0_foundation_automatic,A1,active_automatic,682,arm,arm,lexeme_candidate,True,,,,44,25,conflicting_variants,lu:7419d48566e3d3818a,,[]
4,S0_foundation_automatic,A1,active_automatic,682,attention,attention,lexeme_candidate,True,,,,50,29,conflicting_variants,lu:b086b89b9ccb2c9a97,,[]
5,S0_foundation_automatic,A1,active_automatic,682,bear,bear,lexeme_candidate,True,,,,49,26,unreviewed,lu:3b36e4266279845007,,[]
6,S0_foundation_automatic,A1,active_automatic,682,bite,bite,lexeme_candidate,True,,,,35,24,unreviewed,lu:420e702d64ac219974,,[]
7,S0_foundation_automatic,A1,active_automatic,682,book,book,lexeme_candidate,True,,,,53,27,conflicting_variants,lu:b32c95c8493175659c,,[]
8,S0_foundation_automatic,A1,active_automatic,682,can,can,lexeme_candidate,True,,,,36,22,unreviewed,lu:98232c8d779b7cc696,,[]
9,S0_foundation_automatic,A1,active_automatic,682,coach,coach,lexeme_candidate,True,,,,58,27,conflicting_variants,lu:4f94a1cfeec38b42d9,,[]
10,S0_foundation_automatic,A1,active_automatic,682,count,count,lexeme_candidate,True,,,,48,28,conflicting_variants,lu:690c1b46b5bba8d540,,[]
11,S0_foundation_automatic,A1,active_automatic,682,cross,cross,lexeme_candidate,True,,,,45,26,conflicting_variants,lu:47523d5dc5276982da,,[]
12,S0_foundation_automatic,A1,active_automatic,682,feature,feature,lexeme_candidate,True,,,,61,29,conflicting_variants,lu:22171da3a05403a7ef,,[]
13,S0_foundation_automatic,A1,active_automatic,682,fine,fine,lexeme_candidate,True,,,,52,30,conflicting_variants,lu:d6c4ca07c1313bb3a7,,[]
14,S0_foundation_automatic,A1,active_automatic,682,forever,forever,lexeme_candidate,True,,,,34,22,unreviewed,lu:48645b13645b5a7c16,,[]
15,S0_foundation_automatic,A1,active_automatic,682,goal,goal,lexeme_candidate,True,,,,50,27,unreviewed,lu:3b49bbfb97daca4c46,,[]
16,S0_foundation_automatic,A1,active_automatic,682,guide,guide,lexeme_candidate,True,,,,58,28,conflicting_variants,lu:86b19e32b5264e7660,,[]
