userTier,priorityScore,canonicalForm,displayForm,identityKey,unitType,caseProfile,sourceDisambiguator,sourceBookCount,sourceFamilyCount,sourceCategories,sourceFamilies,sourceBooks,qualityStatus,crosslinkTargets,normalizationFlags,lexicalUnitId
A1,682,active,active,active,lexeme_candidate,normal,,47,28,domain_it;domestic_exam;frequency_core;frequency_pos;general_core;general_course;general_expansion;international_exam;school_high;school_junior;school_primary,course:cambridge-join-in;course:new-concept;course:skills;curriculum:high;curriculum:junior;curriculum:primary;domain:it;exam:cet4;exam:cet6;exam:gaokao;exam:ielts;exam:kaoyan;exam:pte;exam:public-english;exam:self-study;exam:tem8;exam:toefl;exam:transfer-student;exam:zhongkao;frequency:frequent-series;frequency:part-of-speech;frequency:top2000;reference:classroom3000;reference:essential4000;reference:longman3000;reference:macmillan7000;reference:oxford3000;reference:oxford5000,2024HongBao_T1.json;2025KaoYanHongBaoShu.json;3000_ClassRoom_English_Words.json;4000_Essential_English_Words-meaning.json;CET-4-frequency.json;CET4_T.json;Cambridge_JOIN_IN.json;English_II.json;GaoKao_3500.json;IELTS_disorder.json;KaoYan_2024.json;Level8luan_2_T.json;Longman_Communication_3000.json;Macmillan7000.json;Oxford3000.json;Oxford5000.json;PEPChuZhong9_1_T.json;PEPGaoZhong_1_T.json;PEPXiaoXue6_2_T.json;PEP_SL_XiaoXue5_1_t.json;PETS3-2023.json;PETS_3.json;PTE_Basic_apeuni.json;PTE_Listening_apeuni.json;PTE_junior.json;TOEFL_ZhangHongYan.json;Top1500NounWords.json;Top500AdjectiveWords.json;WaiYanSheChuZhong_4_T.json;ZhongKaoHeXin.json;adult-self-study-examination.json;beijing_junior_high_school.json;frequently_used_word02.json;hongbaoshu-2026.json;ielts-807.json;it-words.json;itVocabulary.json;jiJiao7-2.json;nce-new-2.json;self-study_English1.json;self-study_English2.json;self-study_English3.json;top2000words.json;xinghuoqiaoji_4.json;xinghuoqiaoji_6.json;xueshiyingyu.json;zhuan-cha-ben.json,conflicting_variants,{},,lu:30b8be688464d5d2fb
A1,682,argue,argue,argue,lexeme_candidate,normal,,46,28,business_exam;domestic_exam;frequency_core;frequency_pos;general_core;general_course;general_expansion;international_exam;school_high;school_junior;school_primary,course:skills;course:voa;course:yilin;curriculum:high;curriculum:junior;curriculum:primary;exam:bec;exam:cet4;exam:cet6;exam:gaokao;exam:ielts;exam:kaoyan;exam:pte;exam:public-english;exam:self-study;exam:tem8;exam:toefl;exam:toeic;exam:transfer-student;exam:zhongkao;frequency:frequent-series;frequency:part-of-speech;frequency:top2000;reference:classroom3000;reference:longman3000;reference:macmillan7000;reference:oxford3000;reference:oxford5000,2024HongBao_T1.json;2025KaoYanHongBaoShu.json;3000_ClassRoom_English_Words.json;BEC_2_T.json;BEC_3_T.json;BeiShiGaoZhong_3_T.json;CET-4-frequency.json;CET4_T.json;CET6_T.json;DanCiDeJianFa_4.json;English_II.json;GaoKao_3500.json;IELTS_3_T.json;IELTS_disorder.json;KaoYan_2024.json;KaoYan_3_T.json;Level8luan_2_T.json;Longman_Communication_3000.json;Macmillan7000.json;Oxford3000.json;Oxford5000.json;OxfordVocabulary_juniorMiddleSH.json;PEPChuZhong8_2_T.json;PEPGaoZhong_4_T.json;PETS3-2023.json;PETS_3.json;PTE_Basic_apeuni.json;PTE_junior.json;TOEFL_3_T.json;TOEIC.json;Top1000VerbWords.json;WaiYanSheGaoZhong_1_T.json;YiLin_1.json;ZhongKaoHeXin.json;adult-self-study-examination.json;beijing_junior_high_school.json;frequently_used_word02.json;hongbaoshu-2026.json;pet-vacabulary-list-2024.json;self-study_English3.json;top2000words.json;voa.json;waiyan-xin-5-1.json;xinghuoqiaoji_6.json;xueshiyingyu.json;zhuan-cha-ben.json,conflicting_variants,{},,lu:493e4250098d93447f
A1,682,arm,arm,arm,lexeme_candidate,normal,,44,25,cefr_course;domain_it;domestic_exam;frequency_core;frequency_pos;general_core;general_course;general_expansion;international_exam;school_high;school_junior;school_primary,course:cambridge-join-in;course:duolingo;course:new-concept;curriculum:high;curriculum:junior;curriculum:primary;domain:it;exam:cet4;exam:cet6;exam:gaokao;exam:ielts;exam:kaoyan;exam:public-english;exam:self-study;exam:tem8;exam:transfer-student;exam:zhongkao;frequency:frequent-series;frequency:part-of-speech;frequency:top2000;reference:classroom3000;reference:longman3000;reference:macmillan7000;reference:oxford3000;reference:oxford5000,2025KaoYanHongBaoShu.json;3000_ClassRoom_English_Words.json;BeiShiGaoZhong_8_T.json;Cambridge_JOIN_IN.json;DanCiDeMimi_1.json;DanCiDeMimi_2.json;Duolingo_Vocabulary_C1.json;English_II.json;GaoKao_3500.json;IELTS_disorder.json;Level8luan_2_T.json;Longman_Communication_3000.json;Macmillan7000.json;Oxford3000.json;Oxford5000.json;OxfordVocabulary_juniorMiddleSH.json;PEPChuZhong8_1_T.json;PEPXiaoXue3_1_T.json;PEP_SL_XiaoXue3_1_t.json;PETS3-2023.json;PETS_3.json;Top1000VerbWords.json;Top1500NounWords.json;WaiYanSheChuZhong_2_T.json;WaiYanSheChuZhong_3-Volume-down.json;ZhongKaoHeXin.json;adult-self-study-examination.json;beijing_junior_high_school.json;frequently_used_word01.json;hongbaoshu-2026.json;it-words.json;jiJiao3-1.json;jiJiao6-1.json;ket2021.json;nce-new-2.json;pet-vacabulary-list-2024.json;self-study_English1.json;self-study_English2.json;self-study_English3.json;top2000words.json;waiyan-xin-3-1.json;xinghuoqiaoji_4.json;xinghuoqiaoji_6.json;zhuan-cha-ben.json,conflicting_variants,{},,lu:7419d48566e3d3818a
A1,682,attention,attention,attention,lexeme_candidate,normal,,50,29,business_exam;domain_it;domestic_exam;frequency_core;frequency_pos;general_core;general_course;general_expansion;international_exam;school_high;school_junior;school_primary,course:new-concept;course:skills;course:voa;curriculum:high;curriculum:junior;curriculum:primary;domain:it;exam:bec;exam:cet4;exam:cet6;exam:gaokao;exam:ielts;exam:kaoyan;exam:pte;exam:public-english;exam:self-study;exam:tem4;exam:tem8;exam:toefl;exam:transfer-student;exam:zhongkao;frequency:frequent-series;frequency:part-of-speech;reference:classroom3000;reference:essential4000;reference:longman3000;reference:macmillan7000;reference:oxford3000;reference:oxford5000,2024HongBao_T2.json;2025KaoYanHongBaoShu.json;3000_ClassRoom_English_Words.json;4000_Essential_English_Words-meaning.json;BEC_2_T.json;BEC_3_T.json;DanCiDeJianFa_4.json;English_II.json;GaoKao_3500.json;HeQiong_IELTS.json;IELTSKingLu807.json;IELTS_3_T.json;IELTS_XDF_7000.json;IELTS_disorder.json;KaoYan_2024.json;Level4luan_2_T.json;Level8luan_2_T.json;Longman_Communication_3000.json;Macmillan7000.json;Oxford3000.json;Oxford5000.json;OxfordVocabulary_juniorMiddleSH.json;PEPChuZhong9_1_T.json;PEPGaoZhong_2_T.json;PEPXiaoXue6_1_T.json;PETS3-2023.json;PETS_3.json;PTE_Advanced_apeuni.json;PTE_senior.json;TOEFL_3_T.json;Top1500NounWords.json;WaiYanSheChuZhong_3_T.json;ZhongKaoHeXin.json;adult-self-study-examination.json;beijing_junior_high_school.json;frequently_used_word02.json;hongbaoshu-2026.json;ielts-807.json;it-words.json;itVocabulary.json;jiJiao8-2.json;nce-new-2.json;self-study_English1.json;self-study_English2.json;self-study_English3.json;shanghai-6-2-word.json;voa.json;xinghuoqiaoji_6.json;xueshiyingyu.json;zhuan-cha-ben.json,conflicting_variants,{},,lu:b086b89b9ccb2c9a97
A1,682,bear,bear,bear,lexeme_candidate,normal,,49,26,business_exam;cefr_course;domestic_exam;frequency_core;frequency_pos;general_core;general_course;general_expansion;international_exam;school_high;school_junior;school_primary,course:cambridge-join-in;course:duolingo;course:new-concept;curriculum:high;curriculum:junior;curriculum:primary;exam:bec;exam:cet4;exam:cet6;exam:gaokao;exam:ielts;exam:kaoyan;exam:pte;exam:public-english;exam:self-study;exam:tem8;exam:toefl;exam:transfer-student;frequency:frequent-series;frequency:part-of-speech;frequency:top2000;reference:classroom3000;reference:longman3000;reference:macmillan7000;reference:oxford3000;reference:oxford5000,2025KaoYanHongBaoShu.json;3000_ClassRoom_English_Words.json;BEC_2_T.json;BEC_3_T.json;BeiShiGaoZhong_4_T.json;Cambridge_JOIN_IN.json;DanCiDeJianFa_4.json;DanCiDeMimi_1.json;DanCiDeMimi_2.json;Duolingo_Vocabulary_B2.json;English_II.json;GaoKao_3500.json;IELTSVocabularyBible.json;IELTS_disorder.json;KaoYan_2024.json;Level8luan_2_T.json;Longman_Communication_3000.json;Macmillan7000.json;Oxford3000.json;Oxford5000.json;PEPChuZhong8_2_T.json;PEPGaoZhong_8_T.json;PEPXiaoXue3_1_T.json;PEP_SL_XiaoXue1_2_t.json;PETS3-2023.json;PETS_3.json;PTE_Advanced_apeuni.json;PTE_Basic_apeuni.json;PTE_junior.json;PTE_senior.json;TOEFL_ZhangHongYan.json;Top1000VerbWords.json;Top1500NounWords.json;WaiYanSheChuZhong_1-Volume-down.json;WaiYanSheChuZhong_1_T.json;adult-self-study-examination.json;beijing_junior_high_school.json;frequently_used_word02.json;hongbaoshu-2026.json;ielts-real-high.json;jiJiao3-2.json;kaoyanshanguo2025.json;nce-new-2.json;self-study_English2.json;self-study_English3.json;top2000words.json;waiyan-xin-4-1.json;xinghuoqiaoji_6.json;zhuan-cha-ben.json,unreviewed,{},,lu:3b36e4266279845007
A1,682,bite,bite,bite,lexeme_candidate,normal,,35,24,business_exam;cefr_course;domestic_exam;frequency_core;frequency_pos;general_core;general_course;general_expansion;international_exam;school_high;school_junior;school_primary,course:duolingo;course:voa;course:yilin;curriculum:high;curriculum:junior;curriculum:primary;exam:bec;exam:cet4;exam:cet6;exam:ielts;exam:kaoyan;exam:public-english;exam:self-study;exam:tem8;exam:transfer-student;frequency:frequent-series;frequency:part-of-speech;frequency:top2000;reference:classroom3000;reference:essential4000;reference:longman3000;reference:macmillan7000;reference:oxford3000;reference:oxford5000,2025KaoYanHongBaoShu.json;3000_ClassRoom_English_Words.json;4000_Essential_English_Words-meaning.json;BEC_2_T.json;BEC_3_T.json;DanCiDeJianFa_4.json;DanCiDeMimi_2.json;Duolingo_Vocabulary_B1.json;English_II.json;HeQiong_IELTS.json;IELTSVocabularyBible.json;IELTS_disorder.json;Level8luan_2_T.json;Longman_Communication_3000.json;Macmillan7000.json;Oxford3000.json;Oxford5000.json;OxfordVocabulary_juniorMiddleSH.json;PEPGaoZhong_2_T.json;PEP_SL_XiaoXue3_1_t.json;PETS3-2023.json;Top1000VerbWords.json;Top1500NounWords.json;WaiYanSheChuZhong_3_T.json;WaiYanSheGaoZhong_2_T.json;YiLin_2.json;adult-self-study-examination.json;frequently_used_word01.json;hongbaoshu-2026.json;self-study_English1.json;self-study_English3.json;top2000words.json;voa.json;xinghuoqiaoji_6.json;zhuan-cha-ben.json,unreviewed,{},,lu:420e702d64ac219974
A1,682,book,book,book,lexeme_candidate,normal,,53,27,business_exam;domain_it;domestic_exam;frequency_core;frequency_pos;general_core;general_course;general_expansion;international_exam;school_high;school_junior;school_primary,course:cambridge-join-in;course:new-concept;course:voa;curriculum:high;curriculum:junior;curriculum:primary;domain:it;exam:bec;exam:cet4;exam:cet6;exam:gaokao;exam:ielts;exam:kaoyan;exam:public-english;exam:self-study;exam:tem8;exam:toeic;exam:zhongkao;frequency:frequent-series;frequency:part-of-speech;frequency:top2000;reference:classroom3000;reference:essential4000;reference:longman3000;reference:macmillan7000;reference:oxford3000;reference:oxford5000,2025KaoYanHongBaoShu.json;3000_ClassRoom_English_Words.json;4000_Essential_English_Words-meaning.json;BEC_2_T.json;BEC_3_T.json;BeiShiGaoZhong_11_T.json;BeiShiGaoZhong_4_T.json;Cambridge_JOIN_IN.json;DanCiDeMimi_1.json;DanCiDeMimi_2.json;English_II.json;GaoKao_3500.json;IELTSKingLu807.json;IELTS_XDF_7000.json;IELTS_disorder.json;IELTS_tinglichangjing.json;Level8luan_2_T.json;Longman_Communication_3000.json;Macmillan7000.json;Oxford3000.json;Oxford5000.json;PEPChuZhong7_1_T.json;PEPXiaoXue3_1_T.json;PEP_SL_XiaoXue1_1_t.json;PETS3-2023.json;PETS_3.json;TOEIC.json;Top1000VerbWords.json;Top1500NounWords.json;WaiYanSheChuZhong_1-Volume-up.json;WaiYanSheChuZhong_1_T.json;WaiYanSheChuZhong_3_T.json;WaiYanSheChuZhong_6-Volume-top.json;ZhongKaoHeXin.json;adult-self-study-examination.json;beijing_junior_high_school.json;frequently_used_word01.json;ielts-807.json;it-words.json;itVocabulary.json;jiJiao3-1.json;jiJiao4-1.json;ket2021.json;nce-new-1.json;pet-vacabulary-list-2024.json;self-study_English1.json;self-study_English2.json;self-study_English3.json;top2000words.json;voa.json;waiyan-xin-3-1.json;xinghuoqiaoji_4.json;xinghuoqiaoji_6.json,conflicting_variants,{},,lu:b32c95c8493175659c
A1,682,can,can,can,lexeme_candidate,normal,,36,22,domestic_exam;frequency_core;frequency_pos;general_core;general_course;general_expansion;international_exam;school_high;school_junior;school_primary,course:cambridge-join-in;course:new-concept;course:voa;curriculum:high;curriculum:junior;curriculum:primary;exam:cet6;exam:gaokao;exam:ielts;exam:kaoyan;exam:public-english;exam:self-study;exam:tem8;exam:zhongkao;frequency:frequent-series;frequency:part-of-speech;frequency:top2000;reference:classroom3000;reference:essential4000;reference:longman3000;reference:macmillan7000;reference:oxford3000,2025KaoYanHongBaoShu.json;3000_ClassRoom_English_Words.json;4000_Essential_English_Words-meaning.json;Cambridge_JOIN_IN.json;English_II.json;GaoKao_3500.json;IELTSVocabularyBible.json;IELTS_disorder.json;Level8luan_2_T.json;Longman_Communication_3000.json;Macmillan7000.json;Oxford3000.json;PEPChuZhong7_1_T.json;PEPGaoZhong_6_T.json;PEP_SL_XiaoXue1_2_t.json;PETS3-2023.json;Top1500NounWords.json;WaiYanSheChuZhong_1-Volume-down.json;WaiYanSheChuZhong_1_T.json;ZhongKaoHeXin.json;adult-self-study-examination.json;beijing_junior_high_school.json;frequently_used_word01.json;hongbaoshu-2026.json;jiJiao6-1.json;jiJiao7-1.json;ket2021.json;nce-new-1.json;self-study_English1.json;self-study_English2.json;self-study_English3.json;top2000words.json;voa.json;waiyan-xin-4-1.json;waiyan-xin-5-1.json;xinghuoqiaoji_6.json,unreviewed,{},,lu:98232c8d779b7cc696
A1,682,coach,coach,coach,lexeme_candidate,normal,,58,27,business_exam;cefr_course;domestic_exam;frequency_core;frequency_pos;general_core;general_course;general_expansion;international_exam;school_high;school_junior;school_primary,course:duolingo;course:skills;curriculum:high;curriculum:junior;curriculum:primary;exam:bec;exam:cet4;exam:cet6;exam:gaokao;exam:ielts;exam:kaoyan;exam:pte;exam:public-english;exam:self-study;exam:tem8;exam:toeic;exam:transfer-student;exam:zhongkao;frequency:frequent-series;frequency:part-of-speech;frequency:top2000;reference:classroom3000;reference:essential4000;reference:longman3000;reference:macmillan7000;reference:oxford3000;reference:oxford5000,2025KaoYanHongBaoShu.json;3000_ClassRoom_English_Words.json;4000_Essential_English_Words-meaning.json;BEC_2_T.json;BEC_3_T.json;CET-4-frequency.json;CET4_T.json;DanCiDeJianFa_4.json;Duolingo_Vocabulary_B1.json;English_II.json;GaoKao_3500.json;HeQiong_IELTS.json;IELTSKingLu807.json;IELTSVocabularyBible.json;IELTS_3_T.json;IELTS_XDF_7000.json;IELTS_disorder.json;IELTS_tinglichangjing.json;KaoYan_3_T.json;Level8luan_2_T.json;Longman_Communication_3000.json;Macmillan7000.json;Oxford3000.json;Oxford5000.json;OxfordVocabulary_juniorMiddleSH.json;PEPChuZhong9_1_T.json;PEPGaoZhong_2_T.json;PEPXiaoXue6_1_T.json;PETS3-2023.json;PETS_3.json;PTE_Advanced_apeuni.json;PTE_Basic_apeuni.json;PTE_Listening_apeuni.json;PTE_junior.json;PTE_senior.json;TOEIC.json;Top1000VerbWords.json;Top1500NounWords.json;WaiYanSheChuZhong_3_T.json;ZhongKaoHeXin.json;adult-self-study-examination.json;beijing_junior_high_school.json;frequently_used_word02.json;gaokao-yuedu-gaopin.json;hongbaoshu-2026.json;ielts-807.json;jiJiao8-2.json;kaoyanshanguo2025.json;ket2021.json;pet-vacabulary-list-2024.json;self-study_English1.json;self-study_English2.json;self-study_English3.json;tingshuokaoshi.json;top2000words.json;xinghuoqiaoji_4.json;xinghuoqiaoji_6.json;zhuan-cha-ben.json,conflicting_variants,{},,lu:4f94a1cfeec38b42d9
A1,682,count,count,count,lexeme_candidate,normal,,48,28,business_exam;cefr_course;domain_it;domestic_exam;frequency_core;frequency_pos;general_core;general_course;general_expansion;international_exam;school_high;school_junior;school_primary,course:duolingo;course:new-concept;course:skills;course:voa;curriculum:high;curriculum:junior;curriculum:primary;domain:it;exam:bec;exam:cet4;exam:cet6;exam:gaokao;exam:ielts;exam:kaoyan;exam:public-english;exam:self-study;exam:tem8;exam:toefl;exam:transfer-student;exam:zhongkao;frequency:frequent-series;frequency:part-of-speech;frequency:top2000;reference:classroom3000;reference:longman3000;reference:macmillan7000;reference:oxford3000;reference:oxford5000,2025KaoYanHongBaoShu.json;3000_ClassRoom_English_Words.json;BEC_2_T.json;BEC_3_T.json;BeiShiGaoZhong_9_T.json;DanCiDeJianFa_4.json;DanCiDeMimi_1.json;DanCiDeMimi_2.json;DuckCircle_IELTS.json;Duolingo_Vocabulary_B1.json;English_II.json;GaoKao_3500.json;IELTSVocabularyBible.json;IELTS_disorder.json;KaoYan_2024.json;Level8luan_2_T.json;Longman_Communication_3000.json;Macmillan7000.json;Oxford3000.json;Oxford5000.json;PEPChuZhong8_2_T.json;PEPXiaoXue6_1_T.json;PETS3-2023.json;PETS_3.json;TOEFL_3_T.json;Top1000VerbWords.json;Top1500NounWords.json;WaiYanSheChuZhong_1-Volume-up.json;WaiYanSheChuZhong_4_T.json;ZhongKaoHeXin.json;adult-self-study-examination.json;beijing_junior_high_school.json;frequently_used_word02.json;hongbaoshu-2026.json;it-words.json;itVocabulary.json;jiJiao7-1.json;nce-new-1.json;self-study_English1.json;self-study_English2.json;self-study_English3.json;shanghai-6-2-word.json;top2000words.json;voa.json;xinghuoqiaoji_4.json;xinghuoqiaoji_6.json;xueshiyingyu.json;zhuan-cha-ben.json,conflicting_variants,{},,lu:690c1b46b5bba8d540
